'59', 'Radeon Pro 5700', '用于工作站', '30.44', 'RDNA 1.0', '2020', '356 USD', '130 W'
'60', 'Radeon Pro Vega 48', '用于工作站', '29.04', 'GCN 5.0', '2019', '671 USD', '−'
'61', 'Fiji', '桌面', '28.19', 'GCN 3.0', '−', '22 USD', '−'
'62', 'Radeon Pro SSG', '用于工作站', '26.98', 'GCN 3.0', '2016', '321 USD', '260 W'
'63', 'Radeon R9 FURY X', '桌面', '25.86', 'GCN 3.0', '2015', '350 USD', '275 W'
'64', 'Radeon R9 Fury', '桌面', '24.72', 'GCN 1.2', '2015', '44 USD', '275 W'
'65', 'Radeon RX 590', '桌面', '24.44', 'Polaris', '2018', '133 USD', '175 W'
'66', 'Radeon RX 6500 XT', '桌面', '24.39', 'Navi / RDNA2', '2022', '274 USD', '107 W'
'67', 'Radeon R9 390X', '桌面', '24.28', 'GCN', '2015', '20 USD', '275 W'
'68', 'Radeon Pro 5600M', '用于移动工作站', '24.11', 'Navi / RDNA', '2020', '−', '50 W'
'69', 'Radeon RX 5500 XT', '桌面', '23.61', 'RDNA 1.0', '2019', '317 USD', '130 W'
'70', 'Radeon Pro W5500', '用于工作站', '23.47', 'RDNA 1.0', '2020', '308 USD', '125 W'
'71', 'Radeon R9 390', '桌面', '23.13', 'GCN 2.0', '2015', '20 USD', '300 W'
'72', 'Radeon RX 580', '桌面', '22.90', 'Polaris', '2017', '138 USD', '185 W'
'73', 'Radeon RX 5500', '桌面', '22.68', 'RDNA 1.0', '2019', '444 USD', '110 W'
'74', 'Radeon RX 480', '桌面', '22.28', 'Polaris', '2016', '174 USD', '150 W'
'75', 'Radeon R9 295X2', '桌面', '22.20', 'GCN 2.0', '2014', '600 USD', '500 W'
'76', 'Radeon R9 Nano', '桌面', '21.81', 'GCN 1.2', '2015', '27 USD', '175 W'
'77', 'Radeon Pro Duo', '用于工作站', '21.32', 'GCN 3.0', '2016', '4200 USD', '350 W'
'78', 'Radeon Pro 5500 XT', '用于工作站', '21.24', 'RDNA 1.0', '2020', '2499 USD', '125 W'
'79', 'Hawaii', '桌面', '21.22', 'GCN 2.0', '−', '11 USD', '−'
'80', 'Radeon RX 5600M', '用于笔记本电脑', '21.20', 'Navi / RDNA', '2020', '525 USD', '60 W'
'81', 'Radeon RX 470', '桌面', '20.81', 'Polaris', '2016', '14 USD', '120 W'
'82', 'Radeon R9 290', '桌面', '20.80', 'GCN 2.0', '2013', '20 USD', '275 W'
'83', 'Radeon RX 6500M', '用于笔记本电脑', '20.55', 'RDNA 2', '2022', '−', '50 W'
'84', 'Radeon Pro W6400', '用于工作站', '20.54', 'RDNA 2.0', '2022', '206 USD', '50 W'
'85', 'Radeon RX 580 （移动）', '用于笔记本电脑', '20.51', 'Polaris', '2017', '410 USD', '100 W'
'86', 'FirePro W9100', '用于工作站', '20.37', 'GCN 2.0', '2014', '1566 USD', '275 W'
'87', 'Radeon Pro WX 7100', '用于工作站', '20.37', 'Polaris', '2017', '582 USD', '130 W'
'88', 'Radeon RX 580X', '桌面', '20.04', 'GCN 4.0', '2018', '191 USD', '185 W'
'89', 'Radeon Pro 580', '用于工作站', '19.93', 'GCN 4.0', '2017', '5999 USD', '150 W'
'90', 'Radeon RX 580 2048SP', '桌面', '19.89', 'GCN 4.0', '2018', '110 USD', '150 W'
'91', 'Radeon RX 5300', '桌面', '19.66', 'RDNA 1.0', '2020', '558 USD', '100 W'
'92', 'Ellesmere', '桌面', '19.49', 'GCN 4.0', '−', '16 USD', '−'
'93', 'Radeon Pro 580X', '用于工作站', '19.38', 'GCN 4.0', '2019', '5999 USD', '150 W'
'94', 'Radeon RX 470 （移动）', '用于笔记本电脑', '19.28', 'Polaris', '2016', '148 USD', '120 W'
'95', 'Radeon R9 M290X Crossfire', '用于笔记本电脑', '19.16', 'GCN', '2014', '−', '200 W'
'96', 'Radeon RX 6400', '桌面', '19.13', 'RDNA 2.0', '2022', '376 USD', '53 W'
'97', 'Radeon R9 290X', '桌面', '19.08', 'GCN', '2013', '20 USD', '350 W'
'98', 'Radeon RX 6500', '用于笔记本电脑', '18.93', '−', '−', '−', '_'
'99', 'Radeon HD 8970M Crossfire', '用于笔记本电脑', '18.83', 'GCN', '2012', '170 USD', '200 W'
'100', 'FirePro W8100', '用于工作站', '18.71', 'GCN 2.0', '2014', '590 USD', '220 W'
'101', 'Radeon Pro 5300', '用于工作站', '18.58', 'RDNA 1.0', '2020', '1300 USD', '85 W'
'102', 'Radeon 780M', '用于笔记本电脑', '18.54', 'RDNA 3', '2023', '−', '54 W'
'103', 'Radeon RX 570', '桌面', '17.91', 'Polaris', '2017', '114 USD', '120 W'
'104', 'Radeon Pro W5500X', '用于工作站', '17.90', 'RDNA 1.0', '2019', '224 USD', '125 W'
'105', 'Radeon Pro 5500M', '用于移动工作站', '17.52', 'Navi / RDNA', '2019', '1950 USD', '50 W'
'106', 'Radeon R9 285', '桌面', '17.17', 'GCN 3.0', '2014', '85 USD', '190 W'
'107', 'Radeon RX Vega M GH', '用于笔记本电脑', '16.90', 'Vega', '2018', '1031 USD', '100 W'
'108', 'Radeon Pro 570', '用于工作站', '16.28', 'GCN 4.0', '2017', '356 USD', '120 W'
'109', 'Radeon R9 380X', '桌面', '16.04', 'GCN 3.0', '2015', '12 USD', '250 W'
'110', 'Radeon R9 380', '桌面', '15.99', 'GCN', '2015', '13 USD', '220 W'
'111', 'Radeon HD 7970M Crossfire', '用于笔记本电脑', '15.82', 'GCN', '2012', '126 USD', '200 W'
'112', 'FirePro W9000', '用于工作站', '15.78', 'GCN 1.0', '2012', '877 USD', '274 W'
'113', 'Radeon Pro 5300M', '用于移动工作站', '15.39', 'Navi / RDNA', '2019', '2068 USD', '65 W'
'114', 'Radeon 680M', '用于笔记本电脑', '15.38', 'RDNA 2', '2022', '−', '45 W'
'115', 'Radeon R9 280X', '桌面', '15.00', 'GCN', '2013', '12 USD', '200 W'
'116', 'FirePro W7100', '用于工作站', '14.89', 'GCN 3.0', '2014', '466 USD', '150 W'
'117', 'Radeon Pro WX 5100', '用于工作站', '14.51', 'GCN 4.0', '2016', '854 USD', '75 W'
'118', 'Radeon R9 280', '桌面', '14.37', 'GCN 1.0', '2014', '91 USD', '200 W'
'119', 'Radeon HD 7990', '桌面', '14.30', 'GCN 1.0', '2013', '486 USD', '375 W'
'120', 'Tonga', '桌面', '14.28', 'GCN 3.0', '−', '23 USD', '−'
'121', 'Radeon RX Vega M GL / 870', '用于笔记本电脑', '14.14', 'Vega', '2018', '−', '65 W'
'122', 'Radeon E8950', '桌面', '14.10', 'GCN 3.0', '2015', '−', '95 W'
'123', 'Radeon RX 5500M', '用于笔记本电脑', '13.81', 'Navi / RDNA', '2019', '998 USD', '85 W'
'124', 'FirePro D700', '用于工作站', '13.79', 'GCN 1.0', '2014', '413 USD', '274 W'
'125', 'Radeon Pro Vega 20', '用于移动工作站', '13.62', 'Vega', '2018', '360 USD', '100 W'
'126', 'Radeon 760M', '用于笔记本电脑', '13.52', 'RDNA 3', '2023', '−', '54 W'
'127', 'Radeon HD 7970', '桌面', '13.49', 'GCN', '2011', '89 USD', '250 W'
'128', 'Radeon R9 M295X Mac Edition', '桌面', '13.35', 'GCN 3.0', '2014', '−', '250 W'
'129', 'Radeon R9 M295X', '用于笔记本电脑', '13.24', 'GCN 3', '2014', '−', '125 W'
'130', 'FirePro S9000', '用于工作站', '13.00', 'GCN 1.0', '2012', '433 USD', '225 W'
'131', 'Radeon R9 M395X', '用于笔记本电脑', '12.95', 'GCN 3', '2014', '−', '125 W'
'132', 'Radeon R9 M395', '用于笔记本电脑', '12.91', 'GCN', '2015', '1288 USD', '−'
'133', 'Radeon R9 270X', '桌面', '12.62', 'GCN', '2013', '136 USD', '180 W'
'134', 'FirePro S9050', '用于工作站', '12.60', 'GCN 1.0', '2014', '782 USD', '225 W'
'135', 'FirePro S10000', '用于工作站', '12.25', 'GCN 1.0', '2012', '22 USD', '375 W'
'136', 'Radeon HD 7950', '桌面', '12.24', 'GCN 1.0', '2012', '431 USD', '200 W'
'137', 'Radeon Sky 500', '桌面', '12.24', 'GCN 1.0', '2013', '129 USD', '150 W'
'138', 'Radeon R9 370', '桌面', '12.14', 'GCN 1.0', '2015', '325 USD', '110 W'
'139', 'Radeon Pro Vega 16', '用于移动工作站', '12.03', 'Vega', '2018', '511 USD', '75 W'
'140', 'Radeon Pro WX Vega M GL', '用于移动工作站', '11.93', 'Vega', '2018', '1359 USD', '65 W'
'141', 'Radeon HD 7870', '桌面', '11.92', 'GCN', '2012', '200 USD', '200 W'
'142', 'FirePro S7000', '用于工作站', '11.63', 'GCN 1.0', '2012', '300 USD', '150 W'
'143', 'Radeon R7 370', '桌面', '11.61', 'GCN 1.0', '2015', '378 USD', '100 W'
'144', 'Radeon RX 560X （移动）', '用于笔记本电脑', '11.59', 'Polaris', '2017', '520 USD', '60 W'
'145', 'Radeon HD 7870 XT', '桌面', '11.49', 'GCN 1.0', '2012', '133 USD', '185 W'
'146', 'Radeon RX 560 （移动）', '用于笔记本电脑', '11.15', 'Polaris', '2017', '468 USD', '75 W'
'147', 'Radeon RX 5300M', '用于笔记本电脑', '11.07', 'Navi / RDNA', '2019', '525 USD', '65 W'
'148', 'Radeon R9 270', '桌面', '11.07', 'GCN 1.0', '2013', '229 USD', '150 W'
'149', 'FirePro W7000', '用于工作站', '10.95', 'GCN 1.0', '2012', '195 USD', '150 W'
'150', 'Radeon RX 460', '桌面', '10.57', 'Polaris', '2016', '397 USD', '75 W'
'151', 'FirePro W8000', '用于工作站', '10.53', 'GCN 1.0', '2012', '215 USD', '225 W'
'152', 'Radeon R7 265', '桌面', '10.28', 'GCN 1.0', '2014', '242 USD', '150 W'
'153', 'FirePro D500', '用于工作站', '10.19', 'GCN 1.0', '2014', '475 USD', '274 W'
'154', 'Radeon HD 8970M', '用于笔记本电脑', '9.96', 'GCN', '2013', '135 USD', '100 W'
'155', 'Radeon HD 7850', '桌面', '9.91', 'GCN 1.0', '2012', '267 USD', '130 W'
'156', 'Radeon HD 6990M Crossfire', '用于笔记本电脑', '9.89', 'Terascale 2', '2011', '170 USD', '−'
'157', 'Radeon HD 7970M', '用于笔记本电脑', '9.89', 'GCN', '2012', '338 USD', '100 W'
'158', 'Radeon 660M', '用于笔记本电脑', '9.74', 'RDNA 2', '2022', '−', '45 W'
'159', 'Radeon RX 460 （移动）', '用于笔记本电脑', '9.70', 'Polaris', '2016', '95 USD', '75 W'
'160', 'Radeon Pro WX 4100', '用于工作站', '9.67', 'GCN 4.0', '2016', '711 USD', '50 W'
'161', 'Radeon R9 M390', '用于笔记本电脑', '9.64', 'GCN', '2015', '−', '−'
'162', 'FirePro D300', '用于工作站', '9.64', 'GCN 1.0', '2014', '260 USD', '150 W'
'163', 'Radeon Pro 560X', '用于移动工作站', '9.45', 'Polaris', '2017', '133 USD', '35 W'
'164', 'Radeon R9 M485X', '用于笔记本电脑', '9.41', 'GCN 3', '2016', '2500 USD', '125 W'
'165', 'Radeon RX 560', '桌面', '9.36', 'GCN 4.0', '2017', '381 USD', '75 W'
'166', 'Radeon RX Vega M GL', '用于笔记本电脑', '9.33', 'GCN 4.0', '2018', '1307 USD', '65 W'
