排名, 显示卡, 类型, 性能, 架构, 出厂年份, 现在的价格, TDP
'70', 'GeForce RTX 3080 Mobile', '用于笔记本电脑', '42.27', 'Ampere', '2021', '−', '150 W'
'71', 'GeForce RTX 2070', '桌面', '41.56', 'Turing', '2018', '309 USD', '175 W'
'72', 'Radeon Pro W6600', '用于工作站', '41.52', 'RDNA 2.0', '2021', '1522 USD', '100 W'
'73', 'GeForce RTX 4060 Mobile', '用于笔记本电脑', '41.51', 'Ada Lovelace', '2023', '−', '115 W'
'74', 'Quadro RTX 5000', '用于工作站', '41.35', 'Turing', '2018', '1540 USD', '230 W'
'75', 'Radeon Pro Vega II Duo', '用于工作站', '41.06', 'GCN 5.1', '2019', '5226 USD', '475 W'
'76', 'GeForce RTX 2060 12 GB', '桌面', '40.77', 'Turing', '2021', '530 USD', '184 W'
'77', 'Radeon PRO W7500', '用于工作站', '40.69', 'RDNA 3.0', '2023', '−', '70 W'
'78', 'RTX A5500 Mobile', '用于笔记本电脑', '40.60', 'Ampere', '2022', '−', '165 W'
'79', 'GeForce GTX 1070 SLI （移动）', '用于笔记本电脑', '40.31', 'Pascal', '2016', '274 USD', '−'
'80', 'Radeon Pro Vega II', '用于工作站', '40.27', 'GCN 5.1', '2019', '9999 USD', '475 W'
'81', 'Quadro GP100', '用于工作站', '40.11', 'Pascal', '2016', '1482 USD', '235 W'
'82', 'RTX A5000 Mobile', '用于笔记本电脑', '40.08', 'Ampere', '2021', '−', '165 W'
'83', 'Radeon RX 6800S', '用于笔记本电脑', '39.93', 'RDNA 2', '2021', '−', '100 W'
'84', 'Quadro P6000', '用于工作站', '39.88', 'Pascal', '2016', '989 USD', '250 W'
'85', 'GeForce GTX 1080', '桌面', '39.79', 'Pascal', '2016', '241 USD', '180 W'
'86', 'Radeon Pro W5700', '用于工作站', '39.76', 'RDNA 1.0', '2019', '748 USD', '205 W'
'87', 'Radeon Pro VII', '用于工作站', '39.69', 'GCN 5.1', '2020', '2378 USD', '250 W'
'88', 'Quadro RTX 4000', '用于工作站', '39.67', 'Turing', '2018', '974 USD', '160 W'
'89', 'Arc A770M', '用于笔记本电脑', '39.64', 'Xe HPG', '2022', '−', '150 W'
'90', 'Radeon RX 6600', '桌面', '38.94', 'Navi / RDNA2', '2021', '358 USD', '132 W'
'91', 'GeForce RTX 4050 Mobile', '用于笔记本电脑', '38.84', 'Ada Lovelace', '2023', '−', '115 W'
'92', 'GeForce RTX 2080 （移动）', '用于笔记本电脑', '38.83', 'Turing', '2019', '2003 USD', '150 W'
'93', 'GeForce RTX 2080 Super Mobile', '用于笔记本电脑', '38.73', 'Turing', '2020', '1671 USD', '150 W'
'94', 'Radeon RX 6600S', '用于笔记本电脑', '38.29', 'RDNA 2', '2022', '−', '80 W'
'95', 'GeForce GTX 1070 SLI', '桌面', '38.28', 'Pascal', '2016', '185 USD', '300 W'
'96', 'Radeon RX 6700S', '用于笔记本电脑', '38.19', 'RDNA 2', '2022', '−', '80 W'
'97', 'Quadro RTX 5000 （移动）', '用于移动工作站', '38.12', 'Turing', '2019', '3065 USD', '110 W'
'98', 'GeForce GTX 980 SLI （移动）', '用于笔记本电脑', '38.02', 'Maxwell', '2015', '301 USD', '330 W'
'99', 'GeForce GTX 1070 Ti', '桌面', '37.83', 'Pascal', '2017', '231 USD', '180 W'
'100', 'Radeon RX 5700', '桌面', '37.62', 'Navi / RDNA', '2019', '116 USD', '180 W'
'101', 'Radeon Pro Vega 64X', '用于工作站', '37.60', 'GCN 5.0', '2019', '366 USD', '250 W'
'102', 'GeForce GTX 1080 SLI （移动）', '用于笔记本电脑', '37.52', 'Pascal', '2016', '352 USD', '−'
'103', 'Radeon RX Vega 64', '桌面', '37.29', 'Vega', '2017', '125 USD', '295 W'
'104', 'GeForce RTX 3070 Mobile', '用于笔记本电脑', '36.92', 'Ampere', '2021', '−', '125 W'
'105', 'GeForce RTX 2070 Super Mobile', '用于笔记本电脑', '36.84', 'Turing', '2020', '1443 USD', '115 W'
'106', 'RTX 3000 Ada Generation Mobile', '用于笔记本电脑', '36.77', 'Ada Lovelace', '2023', '−', '115 W'
'107', 'GeForce RTX 2060', '桌面', '36.28', 'Turing', '2019', '397 USD', '175 W'
'108', 'Arc A730M', '用于笔记本电脑', '36.16', 'Xe HPG', '2022', '−', '120 W'
'109', 'Radeon Pro WX 8200', '用于工作站', '35.79', 'GCN 5.0', '2018', '2172 USD', '230 W'
'110', 'GeForce RTX 2070 Super Max-Q', '用于笔记本电脑', '35.75', 'Turing', '2020', '812 USD', '80 W'
'111', 'GeForce RTX 2080 Max-Q', '用于笔记本电脑', '35.71', 'Turing', '2019', '1268 USD', '80 W'
'112', 'GeForce GTX 1080 （移动）', '用于笔记本电脑', '35.66', 'Pascal', '2016', '230 USD', '150 W'
'113', 'GeForce GTX 980 Ti', '桌面', '35.56', 'Maxwell', '2015', '1195 USD', '250 W'
'114', 'GeForce RTX 2080 Super Max-Q', '用于笔记本电脑', '35.55', 'Turing', '2020', '812 USD', '90 W'
'115', 'RTX A2000', '桌面', '35.51', 'Ampere', '2021', '567 USD', '70 W'
'116', 'Radeon RX 5600 XT', '桌面', '35.43', 'RDNA 1.0', '2020', '94 USD', '150 W'
'117', 'Radeon RX 7600M XT', '用于笔记本电脑', '35.21', 'RDNA 3', '2023', '−', '120 W'
'118', 'Quadro RTX 5000 Max-Q', '用于移动工作站', '34.93', 'Turing', '2019', '2130 USD', '80 W'
'119', 'RTX A2000 12 GB', '桌面', '34.93', 'Ampere', '2021', '967 USD', '70 W'
'120', 'Radeon RX 6600M', '用于笔记本电脑', '34.88', 'RDNA 2', '2020', '−', '100 W'
'121', 'Radeon RX 6650M', '用于笔记本电脑', '34.87', 'RDNA 2', '2022', '−', '120 W'
'122', 'GeForce GTX 1070', '桌面', '34.73', 'Pascal', '2016', '180 USD', '150 W'
'123', 'Radeon RX Vega 56', '桌面', '34.59', 'Vega', '2017', '224 USD', '210 W'
'124', 'Radeon Vega Frontier Edition', '桌面', '34.39', 'GCN 5.0', '2017', '961 USD', '300 W'
'125', 'Radeon RX 6700M', '用于笔记本电脑', '34.14', 'RDNA 2', '2020', '−', '135 W'
'126', 'Radeon RX 7600S', '用于笔记本电脑', '34.09', 'RDNA 3', '2023', '−', '75 W'
'127', 'Radeon PRO WX 9100', '用于工作站', '33.91', 'GCN 5.0', '2017', '1880 USD', '230 W'
'128', 'RTX A3000 Mobile', '用于笔记本电脑', '33.88', 'Ampere', '2021', '−', '130 W'
'129', 'Radeon Pro W6600X', '用于工作站', '33.70', 'RDNA 2.0', '2021', '−', '120 W'
'130', 'Radeon RX 6800M', '用于笔记本电脑', '33.63', 'RDNA 2', '2021', '−', '145 W'
'131', 'GeForce GTX TITAN X', '桌面', '33.55', 'Maxwell 2.0', '2015', '290 USD', '250 W'
'132', 'Titan X Pascal', '桌面', '33.48', 'Pascal', '2016', '312 USD', '250 W'
'133', 'GeForce GTX 1660 Ti', '桌面', '33.31', 'Turing', '2019', '284 USD', '120 W'
'134', 'Radeon Pro Vega 64', '用于工作站', '33.20', 'GCN 5.0', '2017', '6074 USD', '250 W'
'135', 'GeForce GTX 1660 Super', '桌面', '32.86', 'Turing', '2019', '277 USD', '125 W'
'136', 'Radeon RX 5600 OEM', '桌面', '32.74', 'RDNA 1.0', '2020', '154 USD', '150 W'
'137', 'Radeon Pro 5700 XT', '用于工作站', '32.62', 'RDNA 1.0', '2020', '−', '130 W'
'138', 'Tesla P40', '用于工作站', '32.60', 'Pascal', '2016', '131 USD', '250 W'
'139', 'Tesla T10', '用于工作站', '32.51', 'Turing', '−', '−', '260 W'
'140', 'Quadro P5200', '用于移动工作站', '32.46', 'Pascal', '2017', '3894 USD', '150 W'
'141', 'GeForce RTX 3050 8 GB', '桌面', '32.42', 'Ampere', '2022', '385 USD', '130 W'
'142', 'Quadro P5200 Max-Q', '用于工作站', '32.41', 'Pascal', '2018', '−', '100 W'
'143', 'GeForce RTX 3060 Mobile', '用于笔记本电脑', '32.26', 'Ampere', '2021', '−', '115 W'
'144', 'Quadro RTX 4000 （移动）', '用于移动工作站', '32.23', 'Turing', '2019', '2890 USD', '110 W'
'145', 'Quadro RTX 4000 Max-Q', '用于移动工作站', '32.21', 'Turing', '2019', '−', '80 W'
'146', 'GeForce RTX 2070 （移动）', '用于笔记本电脑', '31.75', 'Turing', '2019', '1758 USD', '115 W'
'147', 'Radeon Pro Vega 56', '用于工作站', '31.75', 'Vega', '2017', '4999 USD', '210 W'
'148', 'Quadro P5000', '用于工作站', '31.40', 'Pascal', '2016', '1270 USD', '180 W'
'149', 'GeForce RTX 3050 OEM', '桌面', '30.93', 'Ampere', '2022', '−', '130 W'
'150', 'GeForce RTX 2070 Max-Q', '用于笔记本电脑', '30.55', 'Turing', '2019', '1311 USD', '80 W'
'151', 'Radeon Pro 5700', '用于工作站', '30.44', 'RDNA 1.0', '2020', '356 USD', '130 W'
'152', 'Quadro M6000', '用于工作站', '30.32', 'Maxwell 2.0', '2015', '1792 USD', '250 W'
'153', 'Quadro M6000 24 GB', '用于工作站', '30.29', 'Maxwell 2.0', '2016', '2104 USD', '250 W'
'154', 'GeForce GTX 1660', '桌面', '30.14', 'Turing', '2019', '252 USD', '120 W'
'155', 'Quadro P4000', '用于工作站', '29.91', 'Pascal', '2017', '485 USD', '105 W'
'156', 'Quadro P5000 （移动）', '用于移动工作站', '29.71', 'Pascal', '2017', '2137 USD', '100 W'
'157', 'GeForce RTX 2060 （移动）', '用于笔记本电脑', '29.18', 'Turing', '2019', '1250 USD', '80 W'
'158', 'Radeon Pro Vega 48', '用于工作站', '29.04', 'GCN 5.0', '2019', '671 USD', '−'
'159', 'GeForce GTX 980', '桌面', '28.61', 'Maxwell', '2014', '339 USD', '220 W'
'160', 'CMP 40HX', '桌面', '28.46', 'Turing', '2021', '152 USD', '185 W'
'161', 'Quadro P4200 Max-Q', '用于工作站', '28.32', 'Pascal', '2018', '−', '100 W'
'162', 'GeForce GTX 1070 （移动）', '用于笔记本电脑', '28.27', 'Pascal', '2016', '379 USD', '115 W'
'163', 'Fiji', '桌面', '28.19', 'GCN 3.0', '−', '22 USD', '−'
'164', 'Tesla T4', '用于工作站', '27.57', 'Turing', '2018', '782 USD', '70 W'
'165', 'Radeon Pro SSG', '用于工作站', '26.98', 'GCN 3.0', '2016', '321 USD', '260 W'
'166', 'Tesla M40 24 GB', '用于工作站', '26.92', 'Maxwell 2.0', '2015', '250 USD', '250 W'
'167', 'GeForce GTX 1060 6 GB', '桌面', '26.35', 'Pascal', '2016', '911 USD', '120 W'
'168', 'GeForce GTX 1660 Ti （移动）', '用于笔记本电脑', '26.25', 'Turing', '2019', '682 USD', '80 W'
'169', 'GeForce GTX 1080 Max-Q', '用于笔记本电脑', '26.23', 'Pascal', '2017', '1008 USD', '90 W'
'170', 'Tesla M40', '用于工作站', '26.17', 'Maxwell 2.0', '2015', '101 USD', '250 W'
'171', 'Quadro RTX 3000 （移动）', '用于移动工作站', '26.00', 'Turing', '2019', '2393 USD', '80 W'
'172', 'GeForce GTX 1650 SUPER', '桌面', '26.00', 'Turing', '2019', '206 USD', '125 W'
'173', 'Radeon R9 FURY X', '桌面', '25.86', 'GCN 3.0', '2015', '350 USD', '275 W'
'174', 'Arc A770', '用于笔记本电脑', '25.66', 'Generation 12.7', '2022', '597 USD', '225 W'
'175', 'GeForce RTX 2060 Max-Q', '用于笔记本电脑', '25.17', 'Turing', '2019', '1680 USD', '65 W'
'176', 'RTX A2000 Mobile', '用于笔记本电脑', '25.10', 'Ampere', '2021', '−', '95 W'
'177', 'Quadro P4200', '用于移动工作站', '24.93', 'Pascal', '2018', '1526 USD', '115 W'
'178', 'GeForce RTX 3050 Ti Mobile', '用于笔记本电脑', '24.81', 'Ampere', '2021', '−', '60 W'
'179', 'GeForce GTX 970', '桌面', '24.78', 'Maxwell', '2014', '105 USD', '150 W'
'180', 'Radeon R9 Fury', '桌面', '24.72', 'GCN 1.2', '2015', '44 USD', '275 W'
'181', 'GeForce GTX 980M SLI', '用于笔记本电脑', '24.72', 'Maxwell', '2014', '499 USD', '200 W'
'182', 'GeForce GTX 1060 3 GB', '桌面', '24.64', 'Pascal', '2016', '1112 USD', '120 W'
'183', 'Radeon RX 590', '桌面', '24.44', 'Polaris', '2018', '133 USD', '175 W'
'184', 'GeForce RTX 3050 4GB Mobile', '用于笔记本电脑', '24.42', 'Ampere', '2021', '−', '60 W'
'185', 'Radeon RX 6500 XT', '桌面', '24.39', 'Navi / RDNA2', '2022', '274 USD', '107 W'
'186', 'GeForce GTX 780 Ti', '桌面', '24.36', 'Kepler', '2013', '461 USD', '250 W'
'187', 'Radeon R9 390X', '桌面', '24.28', 'GCN', '2015', '20 USD', '275 W'
'188', 'Arc A550M', '用于笔记本电脑', '24.28', 'Xe HPG', '2022', '−', '80 W'
'189', 'Quadro M5000', '用于工作站', '24.12', 'Maxwell 2.0', '2015', '823 USD', '150 W'
'190', 'Radeon Pro 5600M', '用于移动工作站', '24.11', 'Navi / RDNA', '2020', '−', '50 W'
'191', 'Quadro P2200', '用于工作站', '24.09', 'Pascal', '2019', '409 USD', '75 W'
'192', 'GeForce GTX 970M SLI', '用于笔记本电脑', '23.98', 'Maxwell', '2014', '1326 USD', '162 W'
'193', 'Quadro P3200 Max-Q', '用于移动工作站', '23.76', 'Pascal', '2018', '−', '75 W'
'194', 'Radeon RX 5500 XT', '桌面', '23.61', 'RDNA 1.0', '2019', '317 USD', '130 W'
'195', 'Radeon Pro W5500', '用于工作站', '23.47', 'RDNA 1.0', '2020', '308 USD', '125 W'
'196', 'GeForce RTX 3050 Mobile', '用于笔记本电脑', '23.45', 'Ampere', '2022', '−', '130 W'
'197', 'Tesla P4', '用于工作站', '23.30', 'Pascal', '2016', '92 USD', '75 W'
'198', 'GeForce RTX 3050 6GB Mobile', '用于笔记本电脑', '23.28', 'Ampere', '2023', '−', '60 W'
'199', 'GeForce GTX TITAN BLACK', '桌面', '23.16', 'Kepler', '2014', '799 USD', '250 W'
'200', 'Quadro P3200', '用于移动工作站', '23.15', 'Pascal', '2017', '2122 USD', '78 W'
'201', 'Radeon R9 390', '桌面', '23.13', 'GCN 2.0', '2015', '20 USD', '300 W'
'202', 'GeForce GTX TITAN Z', '桌面', '23.10', 'Kepler', '2014', '830 USD', '375 W'
'203', 'GeForce GTX 1060 5 GB', '桌面', '23.06', 'Pascal', '2017', '203 USD', '120 W'
'204', 'Radeon RX 580', '桌面', '22.90', 'Polaris', '2017', '138 USD', '185 W'
'205', 'Radeon RX 5500', '桌面', '22.68', 'RDNA 1.0', '2019', '444 USD', '110 W'
'206', 'Quadro P4000 Max-Q', '用于移动工作站', '22.66', 'Pascal', '2017', '803 USD', '80 W'
'207', 'GeForce GTX 1660 Ti Max-Q', '用于笔记本电脑', '22.65', 'Turing', '2019', '1037 USD', '60 W'
'208', 'Radeon RX 480', '桌面', '22.28', 'Polaris', '2016', '174 USD', '150 W'
'209', 'GeForce GTX 980 （移动）', '用于笔记本电脑', '22.26', 'Maxwell', '2014', '251 USD', '100 W'
'210', 'Radeon R9 295X2', '桌面', '22.20', 'GCN 2.0', '2014', '600 USD', '500 W'
'211', 'Quadro RTX 3000 Max-Q', '用于移动工作站', '21.86', 'Turing', '2019', '−', '60 W'
'212', 'Radeon R9 Nano', '桌面', '21.81', 'GCN 1.2', '2015', '27 USD', '175 W'
'213', 'GeForce GTX 880M SLI', '用于笔记本电脑', '21.64', 'Kepler', '2014', '3098 USD', '206 W'
'214', 'Quadro P4000 （移动）', '用于移动工作站', '21.54', 'Pascal', '2017', '1053 USD', '73.4 W'
'215', 'RTX A1000 Mobile', '用于笔记本电脑', '21.49', 'Ampere', '2022', '−', '95 W'
'216', 'Radeon Pro Duo', '用于工作站', '21.32', 'GCN 3.0', '2016', '4200 USD', '350 W'
'217', 'Radeon Pro 5500 XT', '用于工作站', '21.24', 'RDNA 1.0', '2020', '2499 USD', '125 W'
'218', 'Hawaii', '桌面', '21.22', 'GCN 2.0', '−', '11 USD', '−'
'219', 'Radeon RX 5600M', '用于笔记本电脑', '21.20', 'Navi / RDNA', '2020', '525 USD', '60 W'
'220', 'GeForce GTX TITAN', '桌面', '21.06', 'Kepler', '2013', '640 USD', '250 W'
'221', 'GeForce GTX 1060 （移动）', '用于笔记本电脑', '20.97', 'Pascal', '2016', '240 USD', '80 W'
'222', 'Radeon RX 470', '桌面', '20.81', 'Polaris', '2016', '14 USD', '120 W'
'223', 'Radeon R9 290', '桌面', '20.80', 'GCN 2.0', '2013', '20 USD', '275 W'
'224', 'Quadro K6000', '用于工作站', '20.70', 'Kepler', '2013', '429 USD', '225 W'
'225', 'GeForce GTX 780', '桌面', '20.63', 'Kepler', '2013', '100 USD', '250 W'
'226', 'Radeon RX 6500M', '用于笔记本电脑', '20.55', 'RDNA 2', '2022', '−', '50 W'
'227', 'Radeon Pro W6400', '用于工作站', '20.54', 'RDNA 2.0', '2022', '206 USD', '50 W'
'228', 'Quadro T2000 （移动）', '用于移动工作站', '20.52', 'Turing', '2019', '2221 USD', '60 W'
'229', 'Radeon RX 580 （移动）', '用于笔记本电脑', '20.51', 'Polaris', '2017', '410 USD', '100 W'
'230', 'FirePro W9100', '用于工作站', '20.37', 'GCN 2.0', '2014', '1566 USD', '275 W'
'231', 'Radeon Pro WX 7100', '用于工作站', '20.37', 'Polaris', '2017', '582 USD', '130 W'
'232', 'Quadro M5500', '用于移动工作站', '20.34', 'Maxwell', '2016', '1700 USD', '150 W'
'233', 'GeForce GTX 1650', '桌面', '20.20', 'Turing', '2019', '185 USD', '75 W'
'234', 'Radeon RX 580X', '桌面', '20.04', 'GCN 4.0', '2018', '191 USD', '185 W'
'235', 'GeForce GTX 1650 Ti Mobile', '用于笔记本电脑', '20.04', 'Turing', '2020', '892 USD', '50 W'
'236', 'Tesla M60', '用于工作站', '19.97', 'Maxwell 2.0', '2015', '81 USD', '300 W'
'237', 'Radeon Pro 580', '用于工作站', '19.93', 'GCN 4.0', '2017', '5999 USD', '150 W'
'238', 'Quadro T1200 Mobile', '用于移动工作站', '19.90', 'Turing', '2021', '−', '95 W'
'239', 'T1200 Mobile', '用于笔记本电脑', '19.90', 'Turing', '2021', '−', '95 W'
'240', 'Radeon RX 580 2048SP', '桌面', '19.89', 'GCN 4.0', '2018', '110 USD', '150 W'
'241', 'T1000', '桌面', '19.73', 'Turing', '2021', '119 USD', '50 W'
'242', 'GeForce GTX 780M SLI', '用于笔记本电脑', '19.70', 'Kepler', '2013', '149 USD', '200 W'
'243', 'Radeon RX 5300', '桌面', '19.66', 'RDNA 1.0', '2020', '558 USD', '100 W'
'244', 'T1000 8 GB', '桌面', '19.50', 'Turing', '2021', '690 USD', '50 W'
'245', 'Ellesmere', '桌面', '19.49', 'GCN 4.0', '−', '16 USD', '−'
'246', 'Radeon Pro 580X', '用于工作站', '19.38', 'GCN 4.0', '2019', '5999 USD', '150 W'
'247', 'Tesla M6', '用于工作站', '19.30', 'Maxwell 2.0', '2015', '350 USD', '100 W'
'248', 'Radeon RX 470 （移动）', '用于笔记本电脑', '19.28', 'Polaris', '2016', '148 USD', '120 W'
'249', 'Radeon R9 M290X Crossfire', '用于笔记本电脑', '19.16', 'GCN', '2014', '−', '200 W'
'250', 'Radeon RX 6400', '桌面', '19.13', 'RDNA 2.0', '2022', '376 USD', '53 W'
'251', 'Radeon R9 290X', '桌面', '19.08', 'GCN', '2013', '20 USD', '350 W'
'252', 'Quadro P3000 （移动）', '用于移动工作站', '19.08', 'Pascal', '2017', '537 USD', '75 W'
'253', 'Radeon RX 6500', '用于笔记本电脑', '18.93', '−', '−', '−', '_'
'254', 'GeForce GTX 980M', '用于笔记本电脑', '18.90', 'Maxwell', '2014', '583 USD', '100 W'
'255', 'Radeon HD 8970M Crossfire', '用于笔记本电脑', '18.83', 'GCN', '2012', '170 USD', '200 W'
'256', 'FirePro W8100', '用于工作站', '18.71', 'GCN 2.0', '2014', '590 USD', '220 W'
'257', 'Quadro P2000', '用于工作站', '18.68', 'Pascal', '2017', '371 USD', '75 W'
'258', 'Radeon Pro 5300', '用于工作站', '18.58', 'RDNA 1.0', '2020', '1300 USD', '85 W'
'259', 'Radeon 780M', '用于笔记本电脑', '18.54', 'RDNA 3', '2023', '−', '54 W'
'260', 'GeForce RTX 2050 Mobile', '用于笔记本电脑', '18.33', 'Ampere', '2021', '−', '30 W'
'261', 'GeForce GTX 1650 （移动）', '用于笔记本电脑', '18.29', 'Turing', '2019', '301 USD', '50 W'
'262', 'Quadro M5000M', '用于移动工作站', '18.13', 'Maxwell', '2015', '468 USD', '100 W'
'263', 'Radeon RX 570', '桌面', '17.91', 'Polaris', '2017', '114 USD', '120 W'
'264', 'Radeon Pro W5500X', '用于工作站', '17.90', 'RDNA 1.0', '2019', '224 USD', '125 W'
'265', 'GeForce GTX 1070 Max-Q', '用于笔记本电脑', '17.86', 'Pascal', '2017', '1244 USD', '115 W'
'266', 'Quadro T2000 Max-Q', '用于移动工作站', '17.81', 'Turing', '2019', '−', '35 W'
'267', 'Radeon Pro 5500M', '用于移动工作站', '17.52', 'Navi / RDNA', '2019', '1950 USD', '50 W'
'268', 'GeForce GTX 965M SLI', '用于笔记本电脑', '17.18', 'Maxwell', '2015', '149 USD', '−'
'269', 'Radeon R9 285', '桌面', '17.17', 'GCN 3.0', '2014', '85 USD', '190 W'
'270', 'Quadro T1000 Max-Q', '用于移动工作站', '17.16', 'Turing', '2019', '−', '35 W'
'271', 'Quadro M4000', '用于工作站', '17.13', 'Maxwell 2.0', '2015', '314 USD', '120 W'
'272', 'Quadro T1000', '用于工作站', '16.95', 'Turing', '2019', '920 USD', '50 W'
'273', 'Radeon RX Vega M GH', '用于笔记本电脑', '16.90', 'Vega', '2018', '1031 USD', '100 W'
'274', 'Quadro T1000 （移动）', '用于移动工作站', '16.81', 'Turing', '2019', '1890 USD', '50 W'
'275', 'T600', '桌面', '16.62', 'Turing', '2021', '143 USD', '40 W'
'276', 'GeForce GTX 680M SLI', '用于笔记本电脑', '16.51', 'Kepler', '2012', '149 USD', '−'
'277', 'GeForce GTX 1650 Ti Max-Q', '用于笔记本电脑', '16.46', 'Turing', '2020', '1183 USD', '35 W'
'278', 'Radeon Pro 570', '用于工作站', '16.28', 'GCN 4.0', '2017', '356 USD', '120 W'
'279', 'Quadro T600 Mobile', '用于移动工作站', '16.28', 'Turing', '2021', '−', '40 W'
'280', 'GeForce GTX 1050 Ti', '桌面', '16.20', 'Pascal', '2016', '207 USD', '70 W'
'281', 'Radeon R9 380X', '桌面', '16.04', 'GCN 3.0', '2015', '12 USD', '250 W'
'282', 'Quadro M4000M', '用于移动工作站', '16.00', 'Maxwell', '2015', '832 USD', '100 W'
'283', 'Arc A370M', '用于笔记本电脑', '16.00', 'Xe HPG', '2022', '−', '50 W'
'284', 'Radeon R9 380', '桌面', '15.99', 'GCN', '2015', '13 USD', '220 W'
'285', 'Tesla K80', '用于工作站', '15.96', 'Kepler 2.0', '2014', '83 USD', '300 W'
'286', 'P106-100', '桌面', '15.95', 'Pascal', '2017', '15 USD', '120 W'
'287', 'Radeon HD 7970M Crossfire', '用于笔记本电脑', '15.82', 'GCN', '2012', '126 USD', '200 W'
'288', 'FirePro W9000', '用于工作站', '15.78', 'GCN 1.0', '2012', '877 USD', '274 W'
'289', 'GeForce GTX 1650 Max-Q', '用于笔记本电脑', '15.69', 'Turing', '2019', '1185 USD', '35 W'
'290', 'GeForce MX570 A', '桌面', '15.60', 'Ampere', '2022', '1574 USD', '25 W'
'291', 'GeForce GTX 960', '桌面', '15.53', 'Maxwell', '2015', '440 USD', '100 W'
'292', 'Quadro K5200', '用于工作站', '15.49', 'Kepler', '2014', '451 USD', '150 W'
'293', 'GeForce MX570', '用于笔记本电脑', '15.47', 'Ampere', '2021', '−', '15 W'
'294', 'Radeon Pro 5300M', '用于移动工作站', '15.39', 'Navi / RDNA', '2019', '2068 USD', '65 W'
'295', 'Radeon 680M', '用于笔记本电脑', '15.38', 'RDNA 2', '2022', '−', '45 W'
'296', 'Quadro P2000 （移动）', '用于移动工作站', '15.31', 'Pascal', '2017', '1477 USD', '50 W'
'297', 'GeForce GTX 1050 Ti （移动）', '用于笔记本电脑', '15.21', 'Pascal', '2017', '545 USD', '75 W'
'298', 'GeForce GTX 770', '桌面', '15.16', 'Kepler', '2013', '254 USD', '230 W'
'299', 'GeForce GTX 1060 Max-Q 6 GB', '用于笔记本电脑', '15.14', 'Pascal', '2017', '1010 USD', '60 W'
'300', 'Radeon R9 280X', '桌面', '15.00', 'GCN', '2013', '12 USD', '200 W'
'301', 'FirePro W7100', '用于工作站', '14.89', 'GCN 3.0', '2014', '466 USD', '150 W'
'302', 'GeForce GTX 970M', '用于笔记本电脑', '14.69', 'Maxwell', '2014', '848 USD', '81 W'
'303', 'Radeon Pro WX 5100', '用于工作站', '14.51', 'GCN 4.0', '2016', '854 USD', '75 W'
'304', 'Radeon R9 280', '桌面', '14.37', 'GCN 1.0', '2014', '91 USD', '200 W'
'305', 'GeForce GTX 690', '桌面', '14.34', 'Kepler', '2012', '411 USD', '300 W'
'306', 'Radeon HD 7990', '桌面', '14.30', 'GCN 1.0', '2013', '486 USD', '375 W'
'307', 'Tonga', '桌面', '14.28', 'GCN 3.0', '−', '23 USD', '−'
'308', 'GeForce GTX 680', '桌面', '14.23', 'Kepler', '2012', '156 USD', '195 W'
'309', 'Quadro M3000M', '用于移动工作站', '14.14', 'Maxwell', '2015', '981 USD', '75 W'
'310', 'Radeon RX Vega M GL / 870', '用于笔记本电脑', '14.14', 'Vega', '2018', '−', '65 W'
'311', 'Radeon E8950', '桌面', '14.10', 'GCN 3.0', '2015', '−', '95 W'
'312', 'Arc A350M', '用于笔记本电脑', '14.01', 'Xe HPG', '2022', '−', '35 W'
'313', 'Apple M1 8-Core GPU', '用于笔记本电脑', '13.97', '2020', '−', '−', '_'
'314', 'GeForce GTX 760 Ti OEM', '桌面', '13.95', 'Kepler', '2013', '229 USD', '170 W'
'315', 'Radeon RX 5500M', '用于笔记本电脑', '13.81', 'Navi / RDNA', '2019', '998 USD', '85 W'
'316', 'GeForce GTX 1050 Ti Max-Q', '用于笔记本电脑', '13.80', 'Pascal', '2018', '1140 USD', '40 W'
'317', 'FirePro D700', '用于工作站', '13.79', 'GCN 1.0', '2014', '413 USD', '274 W'
'318', 'GeForce GTX 950', '桌面', '13.74', 'Maxwell', '2015', '13 USD', '90 W'
'319', 'GeForce GTX 770M SLI', '用于笔记本电脑', '13.73', 'Kepler', '2013', '149 USD', '150 W'
'320', 'GeForce GTX 670', '桌面', '13.65', 'Kepler', '2012', '22 USD', '170 W'
'321', 'Radeon Pro Vega 20', '用于移动工作站', '13.62', 'Vega', '2018', '360 USD', '100 W'
'322', 'Radeon 760M', '用于笔记本电脑', '13.52', 'RDNA 3', '2023', '−', '54 W'
'323', 'Radeon HD 7970', '桌面', '13.49', 'GCN', '2011', '89 USD', '250 W'
'324', 'GRID M60-2Q', '用于工作站', '13.37', 'Maxwell 2.0', '2015', '−', '225 W'
'325', 'Radeon R9 M295X Mac Edition', '桌面', '13.35', 'GCN 3.0', '2014', '−', '250 W'
'326', 'Radeon R9 M295X', '用于笔记本电脑', '13.24', 'GCN 3', '2014', '−', '125 W'
'327', 'GeForce GTX 1050 3 GB', '桌面', '13.20', 'Pascal', '2018', '1118 USD', '75 W'
'328', 'Quadro P2000 Max-Q', '用于移动工作站', '13.19', 'Pascal', '2017', '426 USD', '−'
'329', 'FirePro S9000', '用于工作站', '13.00', 'GCN 1.0', '2012', '433 USD', '225 W'
'330', 'GeForce GTX 1050', '桌面', '12.97', 'Pascal', '2016', '211 USD', '60 W'
